dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.96039604,0.862068966,1500,4
tor,cas,-1,2,20,20,15,100,500,500,0.3,0.920634921,0.788732394,1700,5
tor,fcn,-1,2,100,100,15,100,500,500,0.3,0.937198068,0.754716981,900,5
tor,mis,-1,2,100,100,15,100,500,500,0.3,0.898395722,0.739726027,600,5
tor,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.943589744,0.830769231,1000,5
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.944162437,0.825396825,1500,5
tor,cas,-1,2,20,20,15,100,500,500,0.4,0.927835052,0.837209302,600,1
tor,fcn,-1,2,100,100,15,100,500,500,0.4,0.943589744,0.870588235,3900,1
tor,mis,-1,2,100,100,15,100,500,500,0.4,0.9375,0.863636364,1400,1
tor,mfid,200,-1,-1,-1,15,100,500,500,0.4,0.932642487,0.850574713,1000,1
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.4,0.927835052,0.837209302,1500,1
tor,cas,-1,2,20,20,15,100,500,500,0.4,0.934010152,0.843373494,1900,2
tor,fcn,-1,2,100,100,15,100,500,500,0.4,0.923857868,0.819277108,3900,2
tor,mis,-1,2,100,100,15,100,500,500,0.4,0.940594059,0.846153846,1600,2
tor,mfid,200,-1,-1,-1,15,100,500,500,0.4,0.935323383,0.835443038,800,2
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.4,0.7375,0.65,1500,2
tor,cas,-1,2,20,20,15,100,500,500,0.4,0.928571429,0.833333333,1300,3
tor,fcn,-1,2,100,100,15,100,500,500,0.4,0.917525773,0.813953488,3000,3
