dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor_rf,cas,-1,2,20,20,15,100,500,500,0.3,0.975609756,0.909090909,1200,1
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.3,0.985221675,0.947368421,1700,1
tor_rf,mis,-1,2,100,100,15,100,500,500,0.3,0.98019802,0.931034483,1300,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.975369458,0.912280702,1100,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.975369458,0.912280702,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,500,0.3,0.965517241,0.877192982,200,2
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.3,0.965174129,0.881355932,1100,2
tor_rf,mis,-1,2,100,100,15,100,500,500,0.3,0.975369458,0.912280702,1300,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.97029703,0.896551724,1300,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.965174129,0.881355932,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,500,0.3,0.965517241,0.877192982,400,3
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.3,0.965517241,0.877192982,4900,3
tor_rf,mis,-1,2,100,100,15,100,500,500,0.3,0.965517241,0.877192982,1000,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.97029703,0.896551724,900,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.965517241,0.877192982,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,500,0.3,0.98,0.933333333,500,4
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.3,0.98,0.933333333,2200,4
tor_rf,mis,-1,2,100,100,15,100,500,500,0.3,0.98,0.933333333,1400,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.98,0.933333333,900,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.98,0.933333333,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,500,0.3,0.98019802,0.931034483,1000,5
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.3,0.975369458,0.912280702,1700,5
tor_rf,mis,-1,2,100,100,15,100,500,500,0.3,0.98019802,0.931034483,1500,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.975609756,0.909090909,900,5
